City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Hambantota,LK,6.12,81.12,79.21,81,53,15.28,broken clouds
83,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,54.68,98,70,2.48,broken clouds
84,Suamico,US,44.63,-88.04,88.57,60,20,9.22,few clouds
85,Jalu,LY,29.03,21.55,92.68,16,0,6.31,clear sky
86,Nanortalik,GL,60.14,-45.24,46.8,79,74,4.43,broken clouds
87,Chuy,UY,-33.7,-53.46,55.8,60,20,7.9,few clouds
88,Placido De Castro,BR,-10.34,-67.19,92.26,39,4,3.65,clear sky
89,Channel-Port Aux Basques,CA,47.57,-59.14,64.63,88,80,11.83,broken clouds
90,Geraldton,AU,-28.77,114.6,55.81,88,100,9.22,overcast clouds
91,Caala,AO,-12.85,15.56,62.37,31,10,2.53,clear sky
92,Martapura,ID,-3.42,114.85,73.74,93,100,2.19,overcast clouds
93,Benghazi,LY,32.12,20.07,81.45,58,0,23.2,clear sky
94,Mujiayingzi,CN,42.12,118.78,66.4,61,27,4.5,scattered clouds
95,Pabianice,PL,51.66,19.35,74.89,46,0,3.44,clear sky
96,Cururupu,BR,-1.83,-44.87,84.99,61,68,8.21,broken clouds
97,Zhezkazgan,KZ,47.8,67.71,82.81,37,69,14.41,broken clouds
98,Caravelas,BR,-17.71,-39.25,77.2,57,45,7.54,scattered clouds
99,Fernie,CA,49.5,-115.07,59.68,47,72,8.25,moderate rain
100,Chokurdakh,RU,70.63,147.92,41.13,76,43,9.98,scattered clouds
101,Kvarkeno,RU,52.08,59.72,71.55,57,17,9.51,few clouds
102,Muros,ES,42.78,-9.06,74.68,79,1,11.56,clear sky
103,Vredendal,ZA,-31.67,18.5,55.89,89,1,7.43,clear sky
104,Salalah,OM,17.02,54.09,78.89,89,100,5.75,overcast clouds
105,Husavik,IS,66.04,-17.34,51.64,75,53,7.2,broken clouds
106,Tevaitoa,PF,-16.78,-151.5,76.6,66,30,9.82,scattered clouds
107,Touros,BR,-5.2,-35.46,81.73,69,31,15.86,scattered clouds
108,Mitu,CO,1.2,-70.17,82.22,77,31,2.24,light rain
109,Sao Filipe,CV,14.9,-24.5,75.56,78,80,17.45,broken clouds
110,Mar Del Plata,AR,-38.0,-57.56,57.09,68,20,15.99,few clouds
111,Kraslava,LV,55.9,27.17,57.69,96,86,4.18,overcast clouds
112,Ahipara,NZ,-35.17,173.17,57.63,86,75,11.74,broken clouds
113,Provideniya,RU,64.38,-173.3,40.23,79,100,24.11,light rain
114,Vardo,NO,70.37,31.11,57.18,82,0,6.91,clear sky
115,Samarai,PG,-10.62,150.67,79.34,84,94,7.78,overcast clouds
116,Bengkulu,ID,-3.8,102.27,76.3,88,2,3.71,moderate rain
117,Cherskiy,RU,68.75,161.3,47.32,53,54,5.35,broken clouds
118,Upernavik,GL,72.79,-56.15,42.57,75,98,2.17,overcast clouds
119,Khatanga,RU,71.97,102.5,52.63,76,100,3.96,overcast clouds
120,Sungaipenuh,ID,-2.08,101.38,64.78,96,50,1.83,scattered clouds
121,Banda Aceh,ID,5.56,95.32,79.77,76,80,8.84,broken clouds
122,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,94.26,42,19,4.29,few clouds
123,Dongsheng,CN,39.82,109.98,75.07,25,100,11.81,overcast clouds
124,Vila Franca Do Campo,PT,37.72,-25.43,73.81,80,41,5.93,scattered clouds
125,Stratonion,GR,40.51,23.82,77.22,47,5,3.69,clear sky
126,Killybegs,IE,54.63,-8.45,64.11,85,55,8.19,broken clouds
127,La Ronge,CA,55.1,-105.28,73.06,46,11,4.23,few clouds
128,Cabo San Lucas,MX,22.89,-109.91,93.61,64,20,18.41,few clouds
129,Belaya Gora,RU,68.53,146.42,57.25,55,100,8.37,overcast clouds
130,Kodiak,US,57.79,-152.41,54.84,78,100,1.72,overcast clouds
131,Gotera,ET,8.98,38.76,61.09,88,75,2.3,broken clouds
132,Monte Alegre,BR,-2.01,-54.07,85.8,60,51,3.71,broken clouds
133,Tashigang,BT,27.33,91.55,72.59,97,100,0.45,overcast clouds
134,Margate,GB,51.38,1.39,90.1,38,17,11.72,few clouds
135,Mount Gambier,AU,-37.83,140.77,46.44,68,100,4.79,overcast clouds
136,Iqaluit,CA,63.75,-68.51,40.73,86,75,8.05,broken clouds
137,Souillac,MU,-20.52,57.52,68.38,73,75,23.02,light rain
138,Hasaki,JP,35.73,140.83,77.4,83,97,9.04,heavy intensity rain
139,Cape Town,ZA,-33.93,18.42,58.12,83,70,7.0,broken clouds
140,Rundu,NA,-17.93,19.77,57.4,32,0,6.13,clear sky
141,Tura,IN,25.52,90.22,75.11,93,97,4.76,overcast clouds
142,Kavaratti,IN,10.57,72.64,81.34,77,100,20.69,overcast clouds
143,Axim,GH,4.87,-2.24,76.28,73,85,7.63,overcast clouds
144,Tasiilaq,GL,65.61,-37.64,50.16,82,62,4.07,broken clouds
145,Pionki,PL,51.48,21.45,72.18,41,97,3.22,overcast clouds
146,Mushie,CD,-3.02,16.9,77.34,68,78,4.25,light rain
147,Yumen,CN,40.28,97.2,71.42,37,81,10.56,broken clouds
148,Soller,ES,39.77,2.72,91.35,68,0,1.99,clear sky
149,East London,ZA,-33.02,27.91,65.34,52,0,5.75,clear sky
150,Nambucca Heads,AU,-30.65,153.0,55.4,68,20,8.81,few clouds
151,Mahebourg,MU,-20.41,57.7,69.26,73,75,23.02,broken clouds
152,San Patricio,US,28.02,-97.52,95.72,43,34,13.13,scattered clouds
153,Thai Binh,VN,20.45,106.33,86.65,81,100,14.32,overcast clouds
154,Mareeba,AU,-17.0,145.43,59.43,91,6,2.19,clear sky
155,Khandbari,NP,27.37,87.2,73.63,95,97,2.3,overcast clouds
156,Saint-Chamond,FR,45.47,4.53,96.91,16,0,9.22,clear sky
157,Krasnoselkup,RU,65.7,82.47,54.77,76,100,8.12,overcast clouds
158,Ponnani,IN,10.77,75.93,74.52,87,100,4.74,light rain
159,Vaini,TO,-21.2,-175.2,74.62,77,64,22.53,broken clouds
160,Sitka,US,57.05,-135.33,53.49,94,100,4.61,moderate rain
161,Eyl,SO,7.98,49.82,77.52,73,92,29.26,overcast clouds
162,Ribeira Grande,PT,38.52,-28.7,77.4,83,75,11.5,broken clouds
163,Thinadhoo,MV,0.53,72.93,82.71,74,100,10.96,overcast clouds
164,Ketchikan,US,55.34,-131.65,55.87,100,100,12.66,light rain
165,Opuwo,NA,-18.06,13.84,64.87,28,2,6.89,clear sky
166,Onguday,RU,50.75,86.15,51.51,82,76,3.6,broken clouds
167,Canutama,BR,-6.53,-64.38,96.35,33,6,4.36,clear sky
168,Phalaborwa,ZA,-23.94,31.14,63.68,52,9,2.77,clear sky
169,Haapiti,PF,-17.57,-149.87,74.93,70,11,4.27,few clouds
170,Weligama,LK,5.97,80.42,79.56,84,75,14.63,broken clouds
171,Nouakchott,MR,18.09,-15.98,85.93,77,31,12.46,scattered clouds
172,Hukuntsi,BW,-24.0,21.75,58.66,41,0,9.73,clear sky
173,Riyadh,SA,24.69,46.72,102.34,10,59,8.84,broken clouds
174,Paamiut,GL,61.99,-49.67,44.37,84,99,0.47,overcast clouds
175,Muhos,FI,64.81,25.99,58.78,89,100,3.4,overcast clouds
176,Airai,TL,-8.93,125.41,51.66,69,97,2.19,overcast clouds
177,Tiksi,RU,71.69,128.87,37.36,98,100,10.42,overcast clouds
178,Liwale,TZ,-9.77,37.93,66.97,69,77,2.55,broken clouds
179,Makakilo City,US,21.35,-158.09,80.92,72,0,16.11,light intensity drizzle
180,Seoul,KR,37.57,126.98,74.64,80,70,1.36,light rain
181,Saint-Francois,FR,46.42,3.91,94.44,24,0,8.05,clear sky
182,Visnes,NO,59.36,5.22,62.82,88,0,5.75,clear sky
183,Campbell River,CA,50.02,-125.24,65.59,68,75,6.91,broken clouds
184,Tygda,RU,53.12,126.33,62.62,92,88,2.04,overcast clouds
185,Lisakovsk,KZ,52.54,62.49,69.71,77,7,7.4,clear sky
186,Constantine,DZ,36.36,6.61,94.41,29,20,16.11,few clouds
187,Richards Bay,ZA,-28.78,32.04,69.3,81,0,13.11,clear sky
188,Xining,CN,36.62,101.77,50.56,93,80,0.63,broken clouds
189,Azangaro,PE,-14.92,-70.22,59.68,29,43,1.88,scattered clouds
190,Beira,MZ,-19.84,34.84,68.09,100,75,6.91,broken clouds
191,Santa Cruz Do Sul,BR,-29.72,-52.43,61.75,64,0,3.04,clear sky
192,Quatre Cocos,MU,-20.21,57.76,69.1,71,91,23.15,light rain
193,Kamaishi,JP,39.27,141.88,70.86,88,80,1.77,broken clouds
194,Zhangjiakou,CN,40.81,114.88,69.31,35,94,3.83,overcast clouds
195,Pangnirtung,CA,66.15,-65.71,48.63,64,100,4.45,overcast clouds
196,Jelenia Gora,PL,50.9,15.73,74.46,59,39,2.3,scattered clouds
197,Srednekolymsk,RU,67.45,153.68,56.77,57,100,5.23,overcast clouds
198,Cidreira,BR,-30.18,-50.21,61.18,77,1,9.48,clear sky
