City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Roald,NO,2022-07-15 21:00:48,62.5833,6.1333,52.32,87,75,10.36
67,Fortuna,US,2022-07-15 21:00:49,40.5982,-124.1573,71.92,67,0,7.0
68,Nikolskoye,RU,2022-07-15 21:00:49,59.7035,30.7861,57.09,95,61,5.26
69,Rio Gallegos,AR,2022-07-15 21:00:50,-51.6226,-69.2181,31.55,78,6,18.32
70,Lagoa,PT,2022-07-15 21:00:50,39.05,-27.9833,69.35,90,25,14.76
71,Busselton,AU,2022-07-15 20:56:00,-33.65,115.3333,58.59,64,100,3.04
72,Umm Lajj,SA,2022-07-15 21:00:51,25.0213,37.2685,84.42,67,0,7.52
73,Talnakh,RU,2022-07-15 21:00:52,69.4865,88.3972,53.92,70,8,1.57
74,Cangzhou,CN,2022-07-15 21:00:52,38.3167,116.8667,81.61,69,74,4.9
75,Cape Town,ZA,2022-07-15 20:55:57,-33.9258,18.4232,61.38,84,100,4.0
76,Sitka,US,2022-07-15 21:00:53,57.0531,-135.33,57.51,94,99,5.53
77,Sao Joaquim,BR,2022-07-15 21:00:53,-28.2939,-49.9317,58.68,76,100,6.85
78,Cabo Frio,BR,2022-07-15 21:00:54,-22.8794,-42.0186,72.3,79,55,25.95
79,Barrow,US,2022-07-15 21:00:54,71.2906,-156.7887,39.22,81,100,11.5
80,Kapaa,US,2022-07-15 21:00:55,22.0752,-159.319,80.47,74,71,5.99
81,Nantucket,US,2022-07-15 21:00:55,41.2835,-70.0995,78.01,81,100,6.8
82,Saraland,US,2022-07-15 20:57:47,30.8207,-88.0706,91.13,68,85,4.21
83,Kungurtug,RU,2022-07-15 21:00:56,50.5994,97.5228,39.07,94,10,1.79
84,Loiza,PR,2022-07-15 21:00:57,18.4313,-65.8802,87.64,84,11,15.9
85,Kununurra,AU,2022-07-15 21:00:57,-15.7667,128.7333,46.38,71,24,1.14
86,Bima,ID,2022-07-15 21:00:58,-8.4667,118.7167,73.27,94,57,3.56
87,Jamestown,US,2022-07-15 20:56:06,42.097,-79.2353,80.02,42,59,5.01
88,Ancud,CL,2022-07-15 21:00:59,-41.8697,-73.8203,44.22,71,0,4.68
89,Avarua,CK,2022-07-15 21:00:59,-21.2078,-159.775,77.05,57,40,19.57
90,Ambon,ID,2022-07-15 21:00:59,-3.6954,128.1814,79.23,14,89,11.79
91,La Asuncion,VE,2022-07-15 21:02:00,11.0333,-63.8628,73.13,100,100,8.05
92,Altay,CN,2022-07-15 21:02:00,47.8667,88.1167,57.54,32,2,5.82
93,Arshan,RU,2022-07-15 21:02:01,46.2732,44.22,73.78,43,1,6.71
94,Tuktoyaktuk,CA,2022-07-15 21:02:01,69.4541,-133.0374,39.51,74,54,8.97
95,Aberdeen,GB,2022-07-15 20:58:39,57.1437,-2.0981,55.89,71,64,5.75
96,Touros,BR,2022-07-15 21:02:02,-5.1989,-35.4608,75.51,87,28,14.67
97,Atar,MR,2022-07-15 21:02:03,20.5169,-13.0499,99.03,22,7,9.73
98,Haines Junction,CA,2022-07-15 21:02:03,60.7522,-137.5108,52.93,89,100,2.17
99,Port Elizabeth,ZA,2022-07-15 20:57:29,-33.918,25.5701,57.49,88,0,8.05
100,Kitimat,CA,2022-07-15 21:02:04,54.0524,-128.6534,56.91,26,100,1.45
101,Iqaluit,CA,2022-07-15 21:00:40,63.7506,-68.5145,68.7,43,100,25.99
102,Progreso,MX,2022-07-15 21:02:05,21.2833,-89.6667,98.11,66,5,17.09
103,Milton,US,2022-07-15 20:59:51,34.1322,-84.3007,95.2,47,51,1.99
104,Santarem,BR,2022-07-15 21:02:05,-2.4431,-54.7083,83.48,68,96,5.55
105,Ordzhonikidze,KZ,2022-07-15 21:02:06,52.4411,61.7408,66.27,86,63,4.74
